ALL SCHOOLS,ADDRESS,SCHOOL PD,original address,latitude,longitude,",",,,,,768928,103.8300549,1.4360948
HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD,278790,1 HOLLAND GROVE ROAD,1.316871,103.784132,",",,,,,538786,103.8859564,1.3720981
HILLGROVE SECONDARY SCHOOL,10 BUKIT BATOK STREET 52,659250,10 BUKIT BATOK STREET 52,1.352752,103.753048,",",,,,,599986,103.7828083,1.3329139
HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD,534786,1191 UPPER SERANGOON ROAD,1.371204,103.896018,",",,,,,599986,103.7828083,1.3329139
HOLY INNOCENTS' PRIMARY SCHOOL,5 LORONG LOW KOON ,536451,5 LORONG LOW KOON,1.366573,103.893711,",",,,,,545080,103.8910347,1.39202845
HONG KAH PRIMARY SCHOOL,1 BUKIT BATOK WEST AVENUE 2,659203,1 BUKIT BATOK WEST AVENUE 2,1.363018,103.743733,",",,,,,129956,103.7690994,1.3083036
HONG KAH SECONDARY SCHOOL,931 JURONG WEST STREET 42,649370,931 JURONG WEST STREET 42,1.351759,103.726968,",",,,,,538785,103.8886801,1.37383325
HONG WEN SCHOOL,30 TOWNER ROAD,327829,30 TOWNER ROAD,41.644743,-74.644449,",",,,,,128806,103.7616253,1.31981545
HORIZON PRIMARY SCHOOL,61 Edgedale Plains,828819,61 Edgedale Plains,1.400025,103.913058,",",,,,,769028,103.838461,1.4165306
HOUGANG PRIMARY SCHOOL,1 HOUGANG ST 93,534238,1 HOUGANG ST 93,1.37734,103.881046,",",,,,,288683,103.802324,1.33050835
HOUGANG SECONDARY SCHOOL,2 HOUGANG STREET 93,534256,2 HOUGANG STREET 93,1.377661,103.88253,",",,,,,268097,103.8079641,1.3204049
HUA YI SECONDARY SCHOOL,60 JURONG WEST ST 42,649371,60 JURONG WEST ST 42,1.351473,103.72158,",",,,,,768689,103.830995,1.419211
HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11,768857,21 YISHUN AVENUE 11,1.426943,103.843853,",",,,,,288913,-87.5254379,33.187168
HWA CHONG INSTITUTION,661 Bukit Timah Road,269734,661 Bukit Timah Road,1.324644,103.8059,",",,,,,139657,103.7736014,1.30988355
INNOVA JUNIOR COLLEGE,21 Champions Way,737902,21 Champions Way,40.242669,-74.374994,",",,,,,449149,103.9179101,1.30554495
